# max_depth,min_samples_split,min_samples_leaf,max_features,score_training,score
2,2,1,auto,0.5883940620782726,0.553763440860215
2,2,1,sqrt,0.5883940620782726,0.553763440860215
2,2,1,log2,0.5883940620782726,0.553763440860215
2,2,2,auto,0.5883940620782726,0.553763440860215
2,2,2,sqrt,0.5883940620782726,0.553763440860215
2,2,2,log2,0.5883940620782726,0.553763440860215
2,2,5,auto,0.5883940620782726,0.553763440860215
2,2,5,sqrt,0.5883940620782726,0.553763440860215
2,2,5,log2,0.5883940620782726,0.553763440860215
2,2,10,auto,0.5883940620782726,0.553763440860215
2,2,10,sqrt,0.5883940620782726,0.553763440860215
2,2,10,log2,0.5883940620782726,0.553763440860215
2,2,20,auto,0.5883940620782726,0.553763440860215
2,2,20,sqrt,0.5883940620782726,0.553763440860215
2,2,20,log2,0.5883940620782726,0.553763440860215
2,5,1,auto,0.5883940620782726,0.553763440860215
2,5,1,sqrt,0.5883940620782726,0.553763440860215
2,5,1,log2,0.5883940620782726,0.553763440860215
2,5,2,auto,0.5883940620782726,0.553763440860215
2,5,2,sqrt,0.5883940620782726,0.553763440860215
2,5,2,log2,0.5883940620782726,0.553763440860215
2,5,5,auto,0.5883940620782726,0.553763440860215
2,5,5,sqrt,0.5883940620782726,0.553763440860215
2,5,5,log2,0.5883940620782726,0.553763440860215
2,5,10,auto,0.5883940620782726,0.553763440860215
2,5,10,sqrt,0.5883940620782726,0.553763440860215
2,5,10,log2,0.5883940620782726,0.553763440860215
2,5,20,auto,0.5883940620782726,0.553763440860215
2,5,20,sqrt,0.5883940620782726,0.553763440860215
2,5,20,log2,0.5883940620782726,0.553763440860215
2,10,1,auto,0.5883940620782726,0.553763440860215
2,10,1,sqrt,0.5883940620782726,0.553763440860215
2,10,1,log2,0.5883940620782726,0.553763440860215
2,10,2,auto,0.5883940620782726,0.553763440860215
2,10,2,sqrt,0.5883940620782726,0.553763440860215
2,10,2,log2,0.5883940620782726,0.553763440860215
2,10,5,auto,0.5883940620782726,0.553763440860215
2,10,5,sqrt,0.5883940620782726,0.553763440860215
2,10,5,log2,0.5883940620782726,0.553763440860215
2,10,10,auto,0.5883940620782726,0.553763440860215
2,10,10,sqrt,0.5883940620782726,0.553763440860215
2,10,10,log2,0.5883940620782726,0.553763440860215
2,10,20,auto,0.5883940620782726,0.553763440860215
2,10,20,sqrt,0.5883940620782726,0.553763440860215
2,10,20,log2,0.5883940620782726,0.553763440860215
2,20,1,auto,0.5883940620782726,0.553763440860215
2,20,1,sqrt,0.5883940620782726,0.553763440860215
2,20,1,log2,0.5883940620782726,0.553763440860215
