# Contrast1,Contrast2,Contrast3,Contrast4,homogeneity1,homogeneity2,homogeneity3,homogeneity4,energy1,energy2,energy3,energy4,correlation1,correlation2,correlation3,correlation4,entropy1,entropy2,entropy3,entropy4
21.347997,37.050698,13.908985,29.421503,0.888987,0.853769,0.892436,0.855075,0.196447,0.187279,0.196745,0.187385,0.932842,0.883441,0.956240,0.907442,2.000000,1.500000,1.500000,0.811278
28.419330,44.799206,17.177716,42.255027,0.901507,0.867100,0.904414,0.867300,0.207091,0.198087,0.207074,0.198087,0.944960,0.912979,0.966648,0.917920,2.000000,2.000000,2.000000,0.000000
26.806332,40.293833,17.404646,43.299171,0.879705,0.835114,0.882121,0.835114,0.183691,0.173016,0.183563,0.173012,0.924736,0.886832,0.951168,0.878391,0.000000,0.000000,0.000000,0.000000
27.799080,40.191566,17.142555,45.015889,0.894068,0.853764,0.893176,0.853843,0.207780,0.196657,0.207276,0.196667,0.928760,0.896919,0.956025,0.884545,1.500000,2.000000,2.000000,0.811278
25.045921,36.578304,12.613165,34.030324,0.585816,0.521516,0.610455,0.520004,0.090814,0.082213,0.094572,0.081973,0.924815,0.890195,0.962261,0.897845,0.811278,0.000000,0.000000,0.811278
29.100789,53.479719,19.952099,39.873201,0.881403,0.831000,0.885968,0.831653,0.202451,0.189797,0.203030,0.189871,0.937237,0.884557,0.956967,0.913929,0.000000,0.000000,0.000000,0.000000
13.397602,28.023970,9.823319,15.711971,0.732026,0.656751,0.732765,0.660407,0.175816,0.154280,0.175805,0.155003,0.959059,0.914259,0.969979,0.951928,0.000000,0.000000,0.000000,0.000000
32.103565,43.787530,21.082755,56.724369,0.698359,0.627335,0.703433,0.622691,0.176455,0.154856,0.177671,0.153751,0.902259,0.866681,0.935855,0.827293,0.000000,0.000000,0.000000,0.000000
19.726312,39.150590,13.934186,25.082570,0.780824,0.711921,0.785017,0.713095,0.198008,0.175642,0.200519,0.175656,0.949596,0.899576,0.964385,0.935661,0.000000,0.000000,0.000000,0.000000
26.135864,43.071367,23.313064,47.260986,0.480696,0.419152,0.481904,0.415654,0.078548,0.071284,0.078768,0.070806,0.910844,0.852399,0.920107,0.838041,0.000000,0.000000,0.000000,0.000000
35.506095,55.428086,26.390989,59.028155,0.483416,0.427165,0.492626,0.424485,0.081702,0.074824,0.082834,0.074474,0.901536,0.845678,0.927207,0.835657,0.000000,0.000000,0.000000,0.000000
19.676965,33.962930,15.722619,31.465647,0.525972,0.463747,0.528984,0.461501,0.086048,0.078237,0.086460,0.077947,0.957216,0.924981,0.965476,0.930497,2.000000,2.000000,2.000000,2.000000
22.441174,29.316563,14.009466,37.217229,0.489665,0.427171,0.493015,0.424493,0.087410,0.079205,0.087825,0.078836,0.896288,0.864531,0.935304,0.828023,0.000000,0.000000,0.000000,0.000000
28.219006,42.445408,20.135380,46.318690,0.482683,0.418601,0.480635,0.415852,0.079823,0.072022,0.079465,0.071668,0.904857,0.856804,0.932111,0.843737,0.000000,0.000000,0.000000,0.000000
28.428383,42.040433,16.721823,40.887507,0.467522,0.404796,0.466224,0.401202,0.074911,0.067647,0.074629,0.067194,0.915223,0.874587,0.950915,0.878026,0.000000,0.000000,0.000000,0.000000
15.807742,25.464783,13.479078,29.667378,0.620117,0.543425,0.622592,0.542313,0.120206,0.107122,0.120966,0.106916,0.939789,0.902820,0.949463,0.886783,0.000000,0.000000,0.000000,0.000000
29.986785,54.656679,21.904446,40.668571,0.472660,0.408381,0.469134,0.407982,0.079142,0.071465,0.078680,0.071352,0.929776,0.872008,0.948730,0.904765,0.000000,0.000000,0.000000,0.000000
42.992463,74.275598,29.172907,59.183179,0.481218,0.419768,0.482153,0.421211,0.090434,0.082063,0.090237,0.082177,0.897716,0.823336,0.931033,0.859233,0.000000,0.000000,0.000000,0.000000
20.927016,35.019975,16.382660,33.013271,0.476850,0.411336,0.473031,0.408295,0.079183,0.071388,0.078830,0.070995,0.916718,0.859452,0.934272,0.867505,0.000000,0.000000,0.000000,0.000000
20.391178,31.682315,16.013522,35.434194,0.539748,0.477821,0.543143,0.475694,0.085775,0.077928,0.086306,0.077625,0.932410,0.893959,0.946825,0.881401,0.000000,0.000000,0.000000,0.000000
22.843255,20.159948,17.893903,53.436457,0.501387,0.437542,0.497394,0.432865,0.086023,0.077714,0.085600,0.077229,0.918501,0.927429,0.935699,0.807641,0.000000,0.000000,0.000000,0.000000
12.285348,20.014382,10.245126,21.036273,0.547747,0.482901,0.548955,0.478864,0.093567,0.084789,0.093702,0.084310,0.953759,0.923701,0.960980,0.919806,2.000000,2.000000,2.000000,1.500000
60.964833,110.308390,39.172486,76.398975,0.510269,0.437107,0.487252,0.437879,0.083492,0.074506,0.080414,0.074442,0.913618,0.842964,0.944236,0.891238,0.000000,0.000000,0.000000,0.000000
13.262631,24.703262,11.880727,20.877196,0.535083,0.472215,0.538760,0.468472,0.094450,0.085991,0.094928,0.085444,0.932213,0.873718,0.939271,0.893277,0.000000,0.000000,0.000000,0.000000
23.142243,34.586096,15.772664,37.233942,0.543158,0.474492,0.532696,0.472813,0.093997,0.084476,0.092392,0.084257,0.914344,0.871996,0.941708,0.862197,0.000000,0.000000,0.000000,0.000000
18.692295,26.420261,13.319005,31.750474,0.504056,0.440010,0.502417,0.437325,0.080318,0.072711,0.080065,0.072371,0.925309,0.894420,0.946769,0.873120,0.000000,0.000000,0.000000,0.000000
26.643223,47.234379,18.812380,36.885359,0.541345,0.475286,0.538489,0.476080,0.093010,0.083941,0.092546,0.083935,0.906788,0.834164,0.934083,0.870497,0.000000,0.000000,0.000000,0.000000
30.097991,45.372549,21.028366,49.338119,0.518733,0.456545,0.517035,0.450151,0.080835,0.073319,0.080630,0.072523,0.919849,0.879185,0.944135,0.868625,0.000000,0.000000,0.000000,0.000000
21.515489,42.887552,17.449984,28.237239,0.486477,0.423941,0.488282,0.422686,0.078116,0.070797,0.078408,0.070566,0.943482,0.886188,0.953931,0.925067,1.500000,1.500000,1.500000,0.000000
15.075135,32.281120,14.494287,22.020618,0.891400,0.856858,0.901171,0.857252,0.116310,0.110732,0.117724,0.110767,0.978087,0.953038,0.978918,0.967965,0.000000,0.000000,0.000000,0.000000
11.575318,17.419165,8.808564,20.680231,0.915293,0.885226,0.919810,0.885025,0.127526,0.122213,0.127971,0.122194,0.981302,0.971848,0.985764,0.966577,0.000000,0.000000,0.000000,0.000000
11.390994,21.879673,7.546970,13.385061,0.883801,0.846580,0.891305,0.847159,0.119176,0.113200,0.119999,0.113246,0.982406,0.966171,0.988333,0.979305,0.000000,0.000000,0.000000,0.000000
7.452950,13.623219,7.381779,14.132905,0.898420,0.860617,0.901647,0.860705,0.119759,0.113458,0.120040,0.113458,0.988534,0.979020,0.988634,0.978235,0.000000,0.000000,0.000000,0.000000
12.224788,23.875436,9.319128,15.787258,0.908996,0.878443,0.913761,0.879105,0.122122,0.117151,0.122460,0.117176,0.979889,0.960693,0.984659,0.974009,0.000000,0.000000,0.000000,0.000000
20.660240,33.782693,18.464068,38.067489,0.863831,0.821365,0.871021,0.820814,0.116385,0.109705,0.117158,0.109655,0.970096,0.951013,0.973227,0.944800,0.000000,0.000000,0.000000,0.000000
5.545820,11.600074,5.674654,9.369625,0.884837,0.842466,0.895675,0.843200,0.113640,0.107182,0.115459,0.107225,0.992454,0.984189,0.992265,0.987229,0.811278,1.500000,1.500000,0.811278
16.266328,24.905090,9.713304,22.501189,0.909500,0.878492,0.913906,0.878655,0.128151,0.122819,0.128636,0.122826,0.971443,0.956232,0.982934,0.960456,0.000000,0.000000,0.000000,0.000000
24.636116,47.664369,18.371117,31.775812,0.543319,0.476779,0.539818,0.477200,0.091702,0.082890,0.091298,0.082866,0.910607,0.826580,0.933201,0.884387,0.000000,0.000000,0.000000,0.000000
19.668760,29.876782,13.379070,32.032552,0.867622,0.833691,0.873790,0.833224,0.120534,0.115516,0.121076,0.115495,0.972735,0.958375,0.981419,0.955372,0.811278,1.500000,1.500000,1.500000
23.749856,37.520775,14.093296,32.126442,0.883359,0.845714,0.884886,0.846386,0.117622,0.112081,0.117911,0.112112,0.966810,0.947314,0.980210,0.954889,0.811278,2.000000,2.000000,2.000000
9.002968,18.449316,8.238373,13.971536,0.905798,0.870953,0.905129,0.872444,0.118443,0.113443,0.118517,0.113541,0.989508,0.978400,0.990376,0.983643,1.500000,2.000000,2.000000,2.000000
25.733695,50.438374,17.253866,29.363701,0.861072,0.827794,0.869710,0.830029,0.117065,0.112112,0.117872,0.112249,0.964760,0.930700,0.976290,0.959656,0.000000,0.000000,0.000000,0.000000
24.062168,45.506521,18.500836,33.202204,0.881482,0.848394,0.884769,0.849135,0.121843,0.116935,0.122344,0.116991,0.964386,0.932368,0.972499,0.950655,0.811278,1.500000,1.500000,2.000000
31.810466,61.405453,25.940492,45.796110,0.849995,0.811464,0.854331,0.813383,0.109918,0.104679,0.110500,0.104803,0.962631,0.927635,0.969468,0.946030,0.811278,1.500000,1.500000,2.000000
24.874851,43.674114,17.790629,35.499337,0.868875,0.833237,0.877991,0.833576,0.114872,0.109666,0.115860,0.109688,0.968256,0.944008,0.977224,0.954488,2.000000,2.000000,2.000000,2.000000
13.798370,31.713967,19.454811,30.667678,0.886164,0.851506,0.886583,0.851430,0.119946,0.114884,0.120025,0.114882,0.980826,0.955755,0.972873,0.957215,0.000000,0.000000,0.000000,0.000000
14.900507,26.718391,16.949809,31.923684,0.899248,0.862731,0.900997,0.862223,0.127580,0.121728,0.127583,0.121689,0.979502,0.963110,0.976702,0.955923,2.000000,2.000000,2.000000,1.500000
16.764152,32.917847,15.721201,27.100916,0.881604,0.848123,0.888686,0.848631,0.125239,0.120070,0.126066,0.120107,0.973204,0.947160,0.974762,0.956497,0.000000,0.000000,0.000000,0.000000
17.885975,30.344648,20.594751,41.069944,0.577034,0.517717,0.580103,0.514436,0.095431,0.087217,0.096122,0.086782,0.939849,0.897966,0.930734,0.861903,0.000000,0.000000,0.000000,0.000000
18.343510,32.697376,13.360482,25.768478,0.904406,0.874624,0.906547,0.875144,0.124137,0.119417,0.124060,0.119453,0.975562,0.956357,0.982167,0.965606,0.000000,0.000000,0.000000,0.811278
19.469870,38.676262,14.733720,24.344697,0.895160,0.858223,0.898423,0.859052,0.117394,0.111907,0.117578,0.111943,0.979773,0.959653,0.984704,0.974604,2.000000,2.000000,2.000000,2.000000
9.927048,20.842399,8.066667,12.489094,0.915880,0.882373,0.920044,0.882646,0.118585,0.113148,0.118953,0.113159,0.987206,0.973095,0.989589,0.983878,0.000000,0.811278,0.811278,2.000000
8.271294,13.982769,7.352778,15.162675,0.933387,0.905105,0.934309,0.905034,0.142358,0.137525,0.142622,0.137530,0.986480,0.976995,0.987947,0.975054,1.500000,2.000000,2.000000,0.811278
26.898833,51.111798,21.631071,38.528847,0.878765,0.841548,0.884847,0.842339,0.117952,0.112455,0.118579,0.112482,0.968001,0.938978,0.974346,0.954001,2.000000,2.000000,2.000000,2.000000
11.278053,23.726505,9.864589,15.218745,0.909664,0.874853,0.912586,0.875361,0.121694,0.116188,0.122075,0.116212,0.986613,0.971709,0.988235,0.981853,2.000000,2.000000,2.000000,2.000000
18.625466,34.899203,14.643787,26.908672,0.903793,0.874109,0.907741,0.874561,0.123077,0.118404,0.123570,0.118432,0.973427,0.949868,0.978990,0.961346,1.500000,2.000000,2.000000,2.000000
10.052152,15.803710,7.173386,16.115170,0.909336,0.874600,0.909838,0.874729,0.127148,0.121903,0.127320,0.121923,0.986591,0.978759,0.990360,0.978340,0.000000,0.000000,0.000000,1.500000
9.325323,15.091107,6.734817,14.448487,0.908276,0.874503,0.908978,0.874451,0.129532,0.124018,0.129561,0.124000,0.984875,0.975391,0.989016,0.976439,2.000000,2.000000,2.000000,2.000000
12.669033,13.950549,10.921428,29.206400,0.921409,0.886875,0.918756,0.885834,0.127381,0.121991,0.127022,0.121916,0.987321,0.985934,0.989024,0.970553,2.000000,2.000000,2.000000,2.000000
16.952245,30.361986,20.798244,39.396900,0.535947,0.474503,0.537059,0.471306,0.086003,0.078244,0.086447,0.077949,0.950570,0.910823,0.938942,0.884286,0.000000,0.000000,0.000000,0.000000
11.957930,19.419061,9.774642,20.777347,0.900790,0.861221,0.899005,0.860880,0.130076,0.123407,0.129807,0.123367,0.978086,0.964340,0.982061,0.961845,0.000000,0.000000,0.000000,0.000000
14.923899,27.666200,10.371477,19.713758,0.902609,0.870564,0.904809,0.871557,0.126359,0.121733,0.126872,0.121803,0.983057,0.968330,0.988172,0.977433,1.500000,2.000000,2.000000,2.000000
17.375210,28.592068,10.394130,23.181488,0.880093,0.841730,0.884610,0.842402,0.133349,0.127354,0.134253,0.127394,0.973544,0.956172,0.984092,0.964465,2.000000,2.000000,2.000000,2.000000
11.250049,21.370058,9.776662,18.021930,0.919292,0.885836,0.915522,0.886135,0.127880,0.123009,0.127698,0.123036,0.986303,0.973776,0.988001,0.977884,2.000000,2.000000,2.000000,2.000000
10.395840,16.019645,7.759442,18.021022,0.888180,0.852213,0.889932,0.852209,0.131926,0.126114,0.132131,0.126114,0.982962,0.973495,0.987309,0.970183,2.000000,2.000000,2.000000,2.000000
23.560721,34.480332,15.362914,37.744737,0.900030,0.864540,0.901221,0.864383,0.125669,0.119933,0.125826,0.119922,0.971797,0.958406,0.981551,0.954468,1.500000,1.500000,1.500000,2.000000
17.721580,45.376130,18.733576,21.882941,0.885706,0.845559,0.885679,0.847709,0.122298,0.116207,0.122471,0.116319,0.977179,0.941156,0.975781,0.971622,0.000000,0.000000,0.000000,0.000000
20.266029,36.615013,12.791964,26.399449,0.673348,0.589328,0.676938,0.592579,0.136313,0.117434,0.137230,0.118064,0.965899,0.938237,0.978448,0.955469,0.000000,0.000000,0.000000,0.000000
12.355214,21.432228,9.087398,19.369227,0.739596,0.664827,0.744685,0.667381,0.180896,0.159878,0.183219,0.160617,0.971412,0.950393,0.978987,0.955168,0.000000,0.000000,0.000000,0.000000
20.617821,41.806399,13.173001,22.899590,0.752551,0.686237,0.762901,0.687148,0.199556,0.177571,0.202815,0.177304,0.935002,0.867679,0.958339,0.927521,0.000000,0.000000,0.000000,0.000000
48.091013,68.323235,35.633780,86.224532,0.489803,0.427489,0.478888,0.423460,0.096262,0.087080,0.094500,0.086520,0.895958,0.851978,0.922772,0.813195,0.000000,0.000000,0.000000,0.000000
14.897200,24.102826,7.962413,19.626969,0.771021,0.705862,0.782012,0.704198,0.203246,0.182106,0.207829,0.181421,0.906101,0.848000,0.949804,0.876226,0.000000,0.000000,0.000000,0.000000
28.174282,44.017278,18.610964,45.846154,0.723450,0.657686,0.737926,0.656914,0.166046,0.146897,0.169997,0.146932,0.925482,0.883451,0.950829,0.878608,0.000000,0.000000,0.000000,0.000000
14.500223,24.353723,12.481293,27.140409,0.728396,0.652004,0.729750,0.650607,0.159817,0.139726,0.160717,0.139462,0.944278,0.905461,0.951724,0.894644,0.000000,0.000000,0.000000,0.000000
16.550532,28.829840,11.852411,25.514705,0.751110,0.683954,0.756315,0.682740,0.164374,0.146922,0.166991,0.146655,0.955264,0.921407,0.967697,0.930444,0.000000,0.000000,0.000000,0.000000
29.082259,43.779810,16.542231,43.306369,0.697258,0.628031,0.714607,0.629295,0.149176,0.131468,0.153879,0.131889,0.890003,0.833834,0.937211,0.835630,0.000000,0.000000,0.000000,0.000000
