# C,gamma,score_train,score
0.01,0.001,0.5515587529976019,0.6170212765957447
0.01,0.001,0.5539568345323741,0.44680851063829785
0.01,0.01,0.5515587529976019,0.6170212765957447
0.01,0.01,0.5539568345323741,0.44680851063829785
0.01,0.1,0.5515587529976019,0.6170212765957447
0.01,0.1,0.5539568345323741,0.44680851063829785
0.01,1.0,0.5515587529976019,0.6170212765957447
0.01,1.0,0.5539568345323741,0.44680851063829785
0.1,0.001,0.5551558752997602,0.6170212765957447
0.1,0.001,0.5539568345323741,0.44680851063829785
0.1,0.01,0.5551558752997602,0.6170212765957447
0.1,0.01,0.552757793764988,0.6170212765957447
0.1,0.1,0.5551558752997602,0.6170212765957447
0.1,0.1,0.5539568345323741,0.6170212765957447
0.1,1.0,0.5551558752997602,0.6170212765957447
0.1,1.0,0.6247002398081535,0.6170212765957447
1.0,0.001,0.5587529976019184,0.6170212765957447
1.0,0.001,0.552757793764988,0.6170212765957447
1.0,0.01,0.5587529976019184,0.6170212765957447
1.0,0.01,0.5599520383693045,0.6170212765957447
1.0,0.1,0.5587529976019184,0.6170212765957447
1.0,0.1,0.6426858513189448,0.6382978723404256
1.0,1.0,0.5587529976019184,0.6170212765957447
1.0,1.0,0.8309352517985612,0.5957446808510638
10.0,0.001,0.565947242206235,0.6382978723404256
10.0,0.001,0.552757793764988,0.6170212765957447
10.0,0.01,0.565947242206235,0.6382978723404256
10.0,0.01,0.6282973621103117,0.6382978723404256
10.0,0.1,0.565947242206235,0.6382978723404256
10.0,0.1,0.7134292565947242,0.6170212765957447
10.0,1.0,0.565947242206235,0.6382978723404256
10.0,1.0,0.9532374100719424,0.6170212765957447
100.0,0.001,0.5875299760191847,0.5957446808510638
100.0,0.001,0.6103117505995204,0.5531914893617021
100.0,0.01,0.5875299760191847,0.5957446808510638
100.0,0.01,0.6402877697841727,0.6595744680851063
100.0,0.1,0.5875299760191847,0.5957446808510638
100.0,0.1,0.802158273381295,0.6382978723404256
100.0,1.0,0.5875299760191847,0.5957446808510638
100.0,1.0,0.9940047961630696,0.5957446808510638
1000.0,0.001,0.6091127098321343,0.6170212765957447
1000.0,0.001,0.6223021582733813,0.6382978723404256
1000.0,0.01,0.6091127098321343,0.6170212765957447
1000.0,0.01,0.6870503597122302,0.6170212765957447
1000.0,0.1,0.6091127098321343,0.6170212765957447
1000.0,0.1,0.8729016786570744,0.5531914893617021
1000.0,1.0,0.6091127098321343,0.6170212765957447
1000.0,1.0,1.0,0.5957446808510638
