# Contrast1,Contrast2,Contrast3,Contrast4,homogeneity1,homogeneity2,homogeneity3,homogeneity4,energy1,energy2,energy3,energy4,correlation1,correlation2,correlation3,correlation4,entropy1,entropy2,entropy3,entropy4
15.707720,33.949800,12.142713,18.252173,0.925000,0.887133,0.925144,0.888060,0.195469,0.186439,0.195368,0.186501,0.954825,0.902329,0.965081,0.947490,0.811278,0.811278,0.811278,0.000000
37.718984,77.481853,27.309136,44.112703,0.870505,0.824969,0.874956,0.827102,0.189486,0.178124,0.189992,0.178282,0.908571,0.812177,0.933781,0.893067,2.000000,2.000000,2.000000,0.000000
32.746426,53.686676,15.217034,36.607268,0.912009,0.880966,0.917867,0.881793,0.194214,0.186016,0.194742,0.186090,0.911427,0.854786,0.958830,0.900983,0.000000,0.000000,0.000000,0.000000
60.133648,93.240475,44.087970,104.582116,0.865782,0.820470,0.871612,0.820029,0.183879,0.173161,0.184334,0.173095,0.918868,0.874215,0.940511,0.858914,2.000000,2.000000,2.000000,0.000000
26.141150,51.059661,19.256219,31.888057,0.529252,0.463205,0.520881,0.464055,0.094215,0.085303,0.093193,0.085315,0.925174,0.853314,0.944795,0.908391,2.000000,2.000000,2.000000,1.500000
19.155260,36.114319,13.928174,26.476091,0.921338,0.888388,0.920294,0.889479,0.209787,0.201068,0.208975,0.201180,0.955039,0.915009,0.967304,0.937691,2.000000,1.500000,1.500000,1.500000
39.937127,62.487481,20.858376,52.962907,0.891324,0.854826,0.896126,0.855507,0.191686,0.182894,0.191717,0.182924,0.933744,0.896323,0.965385,0.912125,2.000000,1.500000,1.500000,2.000000
18.760804,31.930041,15.736983,33.369576,0.920256,0.877391,0.917995,0.877335,0.184480,0.174476,0.183770,0.174454,0.946330,0.908630,0.954963,0.904511,0.811278,0.000000,0.000000,0.000000
15.632223,24.522088,12.248848,28.033580,0.925803,0.881928,0.921901,0.881851,0.184044,0.174124,0.183075,0.174146,0.954334,0.928312,0.964191,0.918047,2.000000,1.500000,1.500000,0.000000
42.311669,61.949598,29.221050,73.424119,0.921042,0.894220,0.922004,0.893936,0.204605,0.197613,0.204285,0.197604,0.924318,0.889130,0.947686,0.868594,2.000000,2.000000,2.000000,0.000000
