# Contrast1,Contrast2,Contrast3,Contrast4,homogeneity1,homogeneity2,homogeneity3,homogeneity4,energy1,energy2,energy3,energy4,correlation1,correlation2,correlation3,correlation4,entropy1,entropy2,entropy3,entropy4
9.142555,18.905302,6.403419,10.423643,0.963866,0.925215,0.974684,0.958765,0.891728,0.851713,0.886864,0.854207,4.246117,4.419870,4.258804,4.399537,0.171397,0.161681,0.169985,0.162041
24.080719,49.003013,16.266689,27.470569,0.936867,0.871520,0.957329,0.927976,0.845587,0.799712,0.841639,0.804515,4.460740,4.661198,4.463348,4.626300,0.172001,0.159971,0.170293,0.160636
19.720360,31.687023,8.328328,21.852285,0.939037,0.902040,0.974242,0.932444,0.891420,0.855486,0.887737,0.857488,4.059870,4.223386,4.057747,4.208277,0.192403,0.182123,0.190098,0.182429
36.933506,55.431673,25.164880,63.268916,0.930457,0.895635,0.952605,0.880879,0.841941,0.798639,0.837843,0.797172,4.604097,4.788594,4.608417,4.795067,0.165207,0.154193,0.163477,0.153923
25.296352,49.172895,15.757338,29.378897,0.935561,0.874420,0.959825,0.924966,0.858268,0.829200,0.864465,0.829756,4.231052,4.374621,4.192271,4.360098,0.184420,0.173254,0.186019,0.173007
13.267686,24.692704,9.579591,18.873604,0.953508,0.913226,0.966410,0.933660,0.891702,0.852987,0.883656,0.856096,4.163464,4.346547,4.195152,4.320956,0.183385,0.173468,0.180797,0.173916
33.559940,51.280097,16.515481,44.744314,0.938577,0.906154,0.969765,0.918115,0.867123,0.828989,0.863526,0.831020,4.415732,4.586783,4.413827,4.574320,0.175079,0.165454,0.173193,0.165673
12.538903,20.183678,9.390119,21.494885,0.955616,0.928510,0.966739,0.923865,0.891398,0.848421,0.882287,0.847994,4.172758,4.351267,4.206416,4.352374,0.178792,0.167963,0.176295,0.167772
9.296779,14.139950,7.012270,16.752394,0.966920,0.949621,0.975018,0.940315,0.897500,0.854721,0.887845,0.854275,4.242910,4.420882,4.279773,4.422672,0.172022,0.161685,0.169667,0.161637
26.820404,37.908353,17.726512,46.875600,0.934785,0.907785,0.956856,0.885972,0.904343,0.874191,0.896747,0.873761,3.898827,4.045171,3.926398,4.049239,0.223772,0.214620,0.221235,0.214779
